passage_id,neighbor_id,rank,similarity
p0065,p1044,3,0.773587
p0065,p1398,4,0.769724
p0065,p0029,5,0.767750
p0066,p0496,1,0.824546
p0066,p0161,2,0.821542
p0066,p0497,3,0.818005
p0066,p0069,4,0.814649
p0066,p0071,5,0.812758
p0067,p0835,1,0.809884
p0067,p0855,2,0.800361
p0067,p0179,3,0.788762
p0067,p0071,4,0.783041
p0067,p0487,5,0.777109
p0068,p0071,1,0.837525
p0068,p0179,2,0.811181
p0068,p0164,3,0.807777
p0068,p0161,4,0.780336
p0068,p0150,5,0.776588
p0069,p0497,1,0.890958
p0069,p0496,2,0.876931
p0069,p0165,3,0.866463
p0069,p0192,4,0.843057
p0069,p0218,5,0.841814
p0070,p0497,1,0.866707
p0070,p0165,2,0.843806
p0070,p0069,3,0.830048
p0070,p0066,4,0.792829
p0070,p0161,5,0.792233
p0071,p0068,1,0.837525
p0071,p0873,2,0.815237
p0071,p0066,3,0.812758
p0071,p0163,4,0.802270
p0071,p0179,5,0.801321
p0072,p1722,1,0.835561
p0072,p0192,2,0.822401
p0072,p0215,3,0.817082
p0072,p0413,4,0.810161
p0072,p1691,5,0.809736
p0073,p0051,1,0.934490
p0073,p0077,2,0.893026
p0073,p0237,3,0.889396
p0073,p0059,4,0.888243
p0073,p0075,5,0.885972
p0074,p0073,1,0.864877
p0074,p0059,2,0.864666
p0074,p0237,3,0.857237
p0074,p0051,4,0.853432
p0074,p0215,5,0.842160
p0075,p0073,1,0.885972
p0075,p0053,2,0.872774
p0075,p0076,3,0.867205
p0075,p0077,4,0.862852
p0075,p0059,5,0.849250
p0076,p0051,1,0.881178
p0076,p0073,2,0.868304
p0076,p0075,3,0.867205
p0076,p0094,4,0.862079
p0076,p0077,5,0.858067
p0077,p0051,1,0.920114
p0077,p0960,2,0.896833
p0077,p1397,3,0.895700
p0077,p0059,4,0.895150
p0077,p0888,5,0.894537
p0078,p0394,1,0.897631
p0078,p0412,2,0.890440
p0078,p0051,3,0.887746
p0078,p1059,4,0.878613
p0078,p0888,5,0.877009
p0079,p1099,1,0.860127
p0079,p0080,2,0.844647
p0079,p1043,3,0.838148
p0079,p1586,4,0.837628
p0079,p0961,5,0.836538
p0080,p0051,1,0.882840
p0080,p0073,2,0.877736
p0080,p0077,3,0.866638
p0080,p1043,4,0.864040
p0080,p1230,5,0.863792
p0081,p0051,1,0.834927
p0081,p0078,2,0.834797
p0081,p0097,3,0.816440
p0081,p0076,4,0.811232
p0081,p0818,5,0.806006
p0082,p0237,1,0.862808
p0082,p0051,2,0.854770
p0082,p0073,3,0.839322
p0082,p0076,4,0.838295
p0082,p0078,5,0.826544
p0083,p0036,1,0.934938
p0083,p0358,2,0.868909
p0083,p0086,3,0.856956
p0083,p0150,4,0.847030
p0083,p0245,5,0.846742
p0084,p0086,1,0.941957
p0084,p0054,2,0.938312
p0084,p0087,3,0.873083
p0084,p0150,4,0.866184
p0084,p0088,5,0.851117
p0085,p0873,1,0.751510
p0085,p0835,2,0.741824
p0085,p0083,3,0.739847
p0085,p0087,4,0.735079
p0085,p0094,5,0.734107
p0086,p0084,1,0.941957
p0086,p0054,2,0.916264
p0086,p0087,3,0.888111
p0086,p0090,4,0.865272
p0086,p0088,5,0.864443
p0087,p0088,1,0.891251
p0087,p0090,2,0.889644
p0087,p0086,3,0.888111
p0087,p0084,4,0.873083
p0087,p0054,5,0.840791
p0088,p0090,1,0.998787
p0088,p0087,2,0.891251
p0088,p0086,3,0.864443
p0088,p0053,4,0.859477
p0088,p0084,5,0.851117
p0089,p0091,1,0.999906
p0089,p0484,2,0.836684
p0089,p0151,3,0.800804
p0089,p0179,4,0.789662
p0089,p0882,5,0.783822
p0090,p0088,1,0.998787
p0090,p0087,2,0.889644
p0090,p0086,3,0.865272
p0090,p0053,4,0.862541
p0090,p0084,5,0.846581
p0091,p0089,1,0.999906
p0091,p0484,2,0.836296
p0091,p0151,3,0.800241
p0091,p0179,4,0.790209
p0091,p0882,5,0.783582
p0092,p0054,1,0.856734
p0092,p0086,2,0.836169
p0092,p0084,3,0.836127
p0092,p0064,4,0.822603
p0092,p0150,5,0.819480
p0093,p0304,1,0.987143
p0093,p0204,2,0.868621
p0093,p0281,3,0.865708
p0093,p0275,4,0.863692
p0093,p0064,5,0.861550
p0094,p0076,1,0.862079
p0094,p0064,2,0.852922
p0094,p0442,3,0.850031
p0094,p0053,4,0.839792
p0094,p0051,5,0.831621
p0095,p0077,1,0.870486
p0095,p0960,2,0.870186
p0095,p0059,3,0.859970
p0095,p0051,4,0.858352
p0095,p1238,5,0.849386
p0096,p0049,1,0.878263
p0096,p0076,2,0.842413
p0096,p0051,3,0.837814
p0096,p0034,4,0.826505
p0096,p0405,5,0.815482
p0097,p0051,1,0.888843
p0097,p1696,2,0.861029
p0097,p0536,3,0.858808
p0097,p0077,4,0.857732
p0097,p0960,5,0.855081
p0098,p0275,1,0.852523
p0098,p0210,2,0.848159
p0098,p0191,3,0.843234
p0098,p0346,4,0.828718
p0098,p0286,5,0.826379
p0099,p0218,1,0.776730
p0099,p0069,2,0.771564
p0099,p0192,3,0.768751
p0099,p0413,4,0.764081
p0099,p0095,5,0.763662
p0100,p0460,1,0.822718
p0100,p0005,2,0.818956
